rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_fit_intercept,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
80,14.457427310943604,0.6357800496752404,0.03501486778259277,0.00767253828716316,4.0,True,l1,liblinear,"{'C': np.float64(4.0), 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear'}",0.9456691748448502,0.9249714093744477,0.9436559505633519,0.9776295127482824,0.9644072786201026,0.951266665230207,0.018156931494050885
1,207.12573652267457,5.891773934682449,0.029553318023681642,0.010735350295466444,4.0,True,l1,saga,"{'C': np.float64(4.0), 'fit_intercept': True, 'penalty': 'l1', 'solver': 'saga'}",0.9450089503633355,0.929107474349725,0.9438533178977121,0.9779564206856226,0.9650799751859326,0.9522012276964655,0.01722747803766442
63,4.471540641784668,0.33702720907820366,0.023820781707763673,0.0017049877578545032,4.0,True,l2,liblinear,"{'C': np.float64(4.0), 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear'}",0.9431753155122039,0.9281900034626533,0.9415646371842139,0.9785440572663109,0.9667634037494506,0.9516474834349665,0.0183063459778191
31,29.489526128768922,2.3241713424535067,0.023877382278442383,0.005961038748733133,4.0,True,l2,saga,"{'C': np.float64(4.0), 'fit_intercept': True, 'penalty': 'l2', 'solver': 'saga'}",0.9430178081516224,0.9299743515675605,0.9415477726278016,0.9785532915864029,0.9667618463811953,0.9519710140629165,0.017877601729775847
131,4.065044498443603,0.5791805577575806,0.02828688621520996,0.00608975800709275,4.0,False,l1,liblinear,"{'C': np.float64(4.0), 'fit_intercept': False, 'penalty': 'l1', 'solver': 'liblinear'}",0.9372624952522843,0.9284023711479609,0.914779212825803,0.9673178119586352,0.9422224380426996,0.9379968658454765,0.017373694954012843
121,295.64132738113403,9.938524164065035,0.022646093368530275,0.0016110747796988848,4.0,False,l1,saga,"{'C': np.float64(4.0), 'fit_intercept': False, 'penalty': 'l1', 'solver': 'saga'}",0.9365014764422457,0.9298382428918387,0.9152809442174665,0.9672964819798313,0.9427348554589219,0.9383304001980608,0.017118248968587317
237,5.426531839370727,0.685937462596986,0.03427257537841797,0.009069969293580386,4.0,False,l2,liblinear,"{'C': np.float64(4.0), 'fit_intercept': False, 'penalty': 'l2', 'solver': 'liblinear'}",0.9339910920308456,0.9308704274454052,0.9086350083826384,0.9654460629649702,0.9377625679618202,0.935341031757136,0.018150465923888335
236,15.63349895477295,0.8921556151597337,0.025299072265625,0.004684645913811927,4.0,False,l2,saga,"{'C': np.float64(4.0), 'fit_intercept': False, 'penalty': 'l2', 'solver': 'saga'}",0.9339927358868474,0.9308726818334088,0.9086343147247911,0.9654469300372793,0.937760880812877,0.9353415086590406,0.018150777212065518
84,6.331998205184936,0.6076675144919182,0.023093700408935547,0.0036141319960818503,4.1,True,l1,liblinear,"{'C': np.float64(4.1), 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear'}",0.945628511038493,0.9247360859497565,0.943425396036361,0.9775951766848416,0.9643997729703165,0.9511569885359537,0.018235979884064408
2,180.20121445655823,5.598095190789575,0.021630382537841795,0.0023103916485715556,4.1,True,l1,saga,"{'C': np.float64(4.1), 'fit_intercept': True, 'penalty': 'l1', 'solver': 'saga'}",0.944952367109383,0.9289872981276832,0.9436902215963694,0.9779576779404708,0.9651295946689555,0.9521434318885724,0.017288090875752934
61,4.056926822662353,0.5257780630371884,0.023272991180419922,0.003988855674433387,4.1,True,l2,liblinear,"{'C': np.float64(4.1), 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear'}",0.9431620781454535,0.9281445688736562,0.9416386851594114,0.9785411092204599,0.9667919987610271,0.9516556880320017,0.018314957026969406
29,24.48647508621216,1.5298279914059676,0.022050142288208008,0.0016146149139163726,4.1,True,l2,saga,"{'C': np.float64(4.1), 'fit_intercept': True, 'penalty': 'l2', 'solver': 'saga'}",0.9430177216328854,0.9299556228056839,0.9415981061753453,0.9785501267724745,0.966807010060599,0.9519857174893976,0.017882902696752623
133,3.624711275100708,0.629407211472585,0.022055673599243163,0.0016867871292841597,4.1,False,l1,liblinear,"{'C': np.float64(4.1), 'fit_intercept': False, 'penalty': 'l1', 'solver': 'liblinear'}",0.9372241674518242,0.928055607254742,0.9146845285296487,0.967343694067062,0.9423263491135114,0.9379268692833577,0.01745191686173323
122,281.4847912311554,12.868381758482366,0.022188472747802734,0.0017561823746029249,4.1,False,l1,saga,"{'C': np.float64(4.1), 'fit_intercept': False, 'penalty': 'l1', 'solver': 'saga'}",0.9364413459200791,0.9296370170857032,0.9153021441354242,0.9673570036270067,0.9428457746868824,0.9383166570910191,0.017160276118526666
234,3.561577081680298,0.32672332280566524,0.01944003105163574,0.0008591245041819766,4.1,False,l2,liblinear,"{'C': np.float64(4.1), 'fit_intercept': False, 'penalty': 'l2', 'solver': 'liblinear'}",0.9339836081601012,0.9308940551658282,0.9088464006115982,0.9655609500459267,0.9379545135992857,0.9354479055165481,0.018130638807729346
233,11.976490259170532,0.37918195870798915,0.02002091407775879,0.0011908528783203332,4.1,False,l2,saga,"{'C': np.float64(4.1), 'fit_intercept': False, 'penalty': 'l2', 'solver': 'saga'}",0.9339861604628406,0.93089470547006,0.9088461838435209,0.9655600829736175,0.9379544270788271,0.935448311965773,0.018130338143326433
